DataSource,Area/Building,Location (Room/Level),Mechanical Activity (System),Original Duration (Days),Current Progress %,Key Predecessor Activity,Predecessor Finish Date,Calculated Mech. Start Date,Calculated Mech. Finish Date,Remarks / Justification,HVAC Manpower,Firefighting Manpower,Fire Alarm Manpower,Security Subcontractor,Total Manpower
2025/07/01,PE-263 380 KV GIS Building,Ground Floor,Firefighting,15,0٫6,GIS Hall cable Trays,2025/06/08,2025/06/09,2025/06/24,on going 4th system LCC FM-200 piping network,17,9,10,0,36
2025/07/01,PE-263 380 KV GIS Building,Ground floor,Fire Alarm ( conduiting+cabling ),15,0٫8,GIS Hall cable Trays,2025/06/08,2025/06/09,2025/06/17,on going. conduit for ceiling devices almost completed.,17,9,10,0,36
2025/07/01,PE-263 380 KV GIS Building,Ground floor ( LCC PANEL ),Fire alarm ( device installation ),0,0٫53,,,,,detectors bases inside LCC completed .remaining will be done with cylinder delivery.,17,9,10,0,36
2025/07/01,PE-263 380 KV GIS Building,Basement,Fire Alarm ( conduiting+cabling ),15,90 %,Inferred: Civil/Structural Works Complete for Basement,2025/04/30,2025/05/01,2025/05/07,almost conduiting completed .remianing will be short drops .,17,9,10,0,36
2025/07/01,PE-263 380 KV GIS Building,Basement,FA ( Device Installation ),0,0٫1,,,,,detectors bases in progress.,17,9,10,0,36
2025/07/01,"PE-263 380 KV GIS
TUNNEL",TUNNEL,Fire Alarm ( conduiting+cabling ),15,80 %,,2026/04/30,2026/05/01,2026/05/15,completed,17,9,10,0,36
2025/07/01,"PE-263 380 KV GIS
TUNNEL",TUNNEL,FA ( Device Installation ),0,0٫1,,,,,,17,9,10,0,36
2025/07/01,PE-263 380 KV GIS Building,Roof,HVAC System,7,0٫88,Inferred: Civil/Structural Works Complete for Roof,2025/04/30,2025/05/01,2025/05/08,,17,9,10,0,36
2025/07/01,PE-263 380 KV GIS Building,ceiling,HVAC System,1,0٫98,GIS Hall cable Trays,2025/06/08,2025/06/09,2025/06/10,"Depends on Cable Trays, but progress is very high (97%). Might finish before trays if remaining work is independent. (Needs review)",17,9,10,0,36
2025/07/01,PE-263 380 KV GIS Building,Basement,HVAC System,3,0,Inferred: Civil/Structural Works Complete for Basement,2025/04/30,2025/05/01,2025/05/04,Civil works nearly ready. Immediate start possible.,17,9,10,0,36
2025/07/01,PE-263 110 kV GIS Building,GROUND FLOOR,Firefighting,20,90 %,Inferred: Civil/Structural Works Complete for Ceiling,2025/04/30,2025/05/01,2025/05/21,piping network for LCC FM-200 systems completed. remaining will completed upon delivery of cylinders.,17,9,10,0,36
2025/07/01,PE-263 110 kV GIS Building,GROUND FLOOR,cylinder installation,0,0 %,,,,,FM-200 cylinders not delivered.,17,9,10,0,36
2025/07/01,PE-263 110 kV GIS Building,"GROUND FLOOR( LCC PANELS)
",Fire Alarm ( conduiting + cabling ),0,0٫8,,,,,conduiting & cabling for LCC completed .,17,9,10,0,36
2025/07/01,PE-263 110 kV GIS Building,"GROUND FLOOR( LCC PANELS)
",Device installation,0,0٫5,,,,,detectors bases inside LCC installed. Remaining will be completed upon delivery of CYlinders.,17,9,10,0,36
2025/07/01,PE-263 110 kV GIS Building,ceiling,Fire Alarm ( conduiting + cabling ),20,90 %,Inferred: Civil/Structural Works Complete for Ceiling,2025/04/30,2025/05/01,2025/05/09,conduiting almost completed ,17,9,10,0,36
2025/07/01,PE-263 110 kV GIS Building,ceiling,FA ( Device Installation ),0,0٫1,,,,,,17,9,10,0,36
2025/07/01,PE-263 110 kV GIS Building,Basement,Fire Alarm ( conduiting + cabling ),20,0٫9,Inferred: Civil/Structural Works Complete for Basement,2025/04/30,2025/05/01,2025/05/20,conduiting & cabling almost done. some short will be completed.,17,9,10,0,36
2025/07/01,PE-263 110 kV GIS Building,Basement,FA ( Device Installation ),0,0٫22,,,,,detectors bases installed .half,17,9,10,0,36
2025/07/01,PE-263 110 kV GIS Building,Tunnel,Fire Alarm ( conduiting+cabling ),20,80 %,Inferred: Civil/Structural Works Complete for Basement,2025/04/30,2025/05/01,2025/05/20,Duration adjusted based on 90% progress.,17,9,10,0,36
2025/07/01,PE-263 110 kV GIS Building,Tunnel,FA ( Device Installation ),0,,,,,,,17,9,10,0,36
2025/07/01,PE-263 110 kV GIS Building,Roof,HVAC System,5,0٫9,Inferred: Civil/Structural Works Complete for Roof,2025/05/04,2025/05/01,2025/05/10,Civil works for roof assumed ready.,17,9,10,0,36
2025/07/01,PE-263 110 kV GIS Building,ceiling (installation),HVAC System,3,1,Inferred: Civil/Structural Works Complete for Ceiling,2025/04/30,2025/05/01,2025/05/04,Duration adjusted based on 80% progress.,17,9,10,0,36
2025/07/01,PE-263 110 kV GIS Building,ceiling (TEST),HVAC System,3,0,Inferred: Civil/Structural Works Complete for Ceiling,2025/04/30,2025/08/01,2025/08/10,Duration adjusted based on 80% progress.,17,9,10,0,36
2025/07/01,PE-263 110 kV GIS Building,Basement,HVAC System,3,0,Inferred: Civil/Structural Works Complete for Basement,2025/04/30,2025/05/01,2025/05/04,Civil works nearly ready. Immediate start possible.,17,9,10,0,36
2025/07/01,PE-263 Control Building,SW GR Room,Firefighting,2,1,SWGR Panels Installation,2025/04/23,2025/05/01,2025/05/03,piping network & support installation completed.,17,9,10,0,36
