Date,HVAC Manpower,Firefighting Manpower,Fire Alarm Manpower,Security Subcontractor,Total Manpower
2024-10-01,2,1,2,0,5
2024-11-01,4,2,4,0,10
2024-12-01,7,3,4,0,14
2025-01-01,9,4,4,0,17
2025-02-01,0,0,0,0,0
2025-03-01,3,2,2,0,7
2025-04-01,7,6,4,0,17
2025-04-16,10,11,8,0,29
2025-04-17,10,11,8,0,29
2025-04-18,0,0,0,0,0
2025-04-19,12,11,8,0,29
2025-04-20,14,11,8,0,33
2025-04-21,15,11,8,0,34
2025-04-22,15,10,8,0,33
2025-04-23,15,10,8,0,33
2025-04-24,15,10,8,0,33
2025-04-25,6,0,4,0,10
2025-04-26,15,10,8,0,33
2025-04-27,15,10,8,0,33
2025-04-28,15,10,8,0,33
2025-04-29,16,10,8,0,34
2025-04-30,16,10,8,0,34
2025-05-01,17,10,11,0,38
2025-05-02,0,0,0,0,0
2025-05-03,17,10,11,0,38
2025-05-04,17,10,11,0,38
2025-05-05,17,10,11,0,38
2025-05-06,17,10,11,0,38
2025-05-07,17,10,11,0,38
2025-05-08,17,10,11,0,38
2025-05-09,0,0,0,0,0
2025-05-10,17,10,11,0,38
2025-05-11,17,10,11,0,38
2025-05-12,17,10,11,0,38
2025-05-13,22,10,11,0,43
2025-05-14,22,10,11,0,43
2025-05-15,22,10,11,0,43
2025-05-16,10,10,11,0,31
2025-05-17,22,10,11,0,43
2025-05-18,10,0,0,0,10
2025-05-19,22,10,11,0,43
2025-05-20,22,10,11,0,43
2025-05-21,22,10,11,0,43
2025-05-22,22,10,11,0,43
2025-05-23,0,0,0,0,0
2025-05-24,22,10,11,0,43
2025-05-25,22,10,11,0,43
2025-05-26,22,10,11,0,43
2025-05-27,22,10,11,0,43
2025-05-28,21,10,11,0,42
2025-05-29,21,10,11,0,42
2025-05-30,0,0,0,0,0
2025-05-31,21,10,11,0,42
2025-06-01,21,10,11,0,42
2025-06-02,21,10,11,0,42
2025-06-03,21,10,11,0,42
2025-06-04,0,0,0,0,0
2025-06-05,0,0,0,0,0
2025-06-06,0,0,0,0,0
2025-06-07,0,0,0,0,0
2025-06-08,0,0,0,0,0
2025-06-09,0,0,0,0,0
2025-06-10,16,9,10,0,35
2025-06-11,16,9,10,0,35
2025-06-12,16,9,10,0,35
2025-06-14,0,9,10,0,19
2025-06-15,16,9,10,0,35
2025-06-16,17,9,10,0,36
2025-06-17,17,9,10,0,36
2025-06-18,17,9,10,0,36
2025-06-19,17,9,10,0,36
2025-06-21,17,9,10,0,36
2025-06-22,17,9,10,0,36
2025-06-23,17,9,10,0,36
2025-06-24,17,9,10,0,36
2025-06-25,17,9,10,0,36
2025-06-26,17,9,10,0,36
2025-06-27,0,0,0,0,0
2025-06-28,17,9,10,0,36
2025-06-29,17,9,10,0,36
2025-06-30,17,9,10,0,36
2025-07-01,17,9,10,0,36
2025-07-02,17,9,10,0,36
2025-07-03,17,9,10,0,36
2025-07-04,0,0,0,0,0
2025-07-05,19,9,10,0,38
2025-07-06,18,9,10,0,37
2025-07-08,18,9,10,0,37
2025-07-09,18,9,10,0,37
2025-07-10,18,8,8,0,16
2025-07-12,20,9,10,0,39
2025-07-13,19,8,8,0,35
2025-07-14,18,8,8,0,34
2025-07-14,18,8,8,0,34
2025-07-15,18,9,10,0,37
2025-07-16,18,9,10,0,37
2025-07-17,18,9,10,0,37
2025-07-18,0,0,0,0,0
2025-07-19,18,9,10,0,37
2025-07-20,18,9,10,9,46
2025-07-21,19,9,10,9,47
2025-07-22,19,9,10,9,47
2025-07-23,19,9,10,9,47
2025-07-24,19,9,10,9,47
2025-07-26,19,9,10,9,47
2025-07-27,16,9,10,9,44
2025-07-28,19,9,10,9,47
29-07-2025,19,9,10,9,47
30-07-2025,19,9,10,9,47
31-07-2025,19,9,10,9,47
02-08-2025,19,9,10,10,48
03-08-2025,19,9,10,11,49
04-08-2025,19,9,10,11,49
05-08-2025,19,9,10,11,49
06-08-2025,18,9,10,11,48
07-08-2025,18,9,10,11,48
09-08-2025,18,9,10,10,47
10-08-2025,21,8,9,12,50
11-08-2025,21,9,10,11,51
12-08-2025,21,9,10,11,51
13-08-2025,21,9,10,11,51
14-08-2025,20,9,10,12,51
16-08-2025,18,9,10,11,48
17-08-2025,20,9,10,11,50
18-08-2025,21,9,10,11,51
19-08-2025,21,9,10,11,51
20-08-2025,21,9,10,11,51
21-08-2025,20,9,10,11,50
23-08-2025,20,8,10,11,49
24-08-2025,20,12,11,11,54
25-08-2025,21,12,11,11,55
26-08-2025,21,12,11,11,55
27-08-2025,21,12,11,11,55
28-08-2025,21,12,11,10,54
29-08-2025,0,0,0,0,0
30-08-2025,21,12,11,9,53
31-08-2025,21,12,11,9,53
01-09-2025,21,12,11,11,55
02-09-2025,21,12,11,12,56
03-09-2025,21,12,11,13,57
