LOG SHEET FOR MATERIAL INSPECTION REQUEST FOR MECHANICAL WORKS AT CONSTRUCTION OF MOWAIH PV 380/110 KV BSP,,,,,,
S. No.,Description,Inspection Request No.,Discipline,Material Received,Inspection Date,Prepared By
1,,MIR-M-001,Other,,,"Engr. Mubarak Khan
 (M/s Alfanar)"
2,110KV Ground Floor Ducting,MIR-M-002,HVAC Works,17-Dec-24,28-Dec-24,"Engr. Faisal Fareed
 (M/s MSCL)"
3,Bulk Material,MIR-M-003,HVAC Works,7-Jan-25,8-Jan-25,"Engr. Faisal Fareed
 (M/s MSCL)"
4,380KV Ground Floor Ducting,MIR-M-004,HVAC Works,1-Jan-25,4-Jan-25,"Engr. Faisal Fareed
 (M/s MSCL)"
5,"Ground Floor, Control Building",MIR-M-005,HVAC Works,16-Jan-25,18-Jan-25,"Engr. Faisal Fareed
 (M/s MSCL)"
6,,MIR-M-006,Other,,,"Engr. Mubarak Khan
 (M/s Alfanar)"
7,Supply Air Register for 110KV & 380KV Buildings,MIR-M-007,HVAC Works,22-Jan-25,22-Jan-25,"Engr. Faisal Fareed
 (M/s MSCL)"
8,HVAC Bulk Material,MIR-M-008,HVAC Works,29-Jan-25,4-Feb-25,"Engr. Faisal Fareed
 (M/s MSCL)"
9,Fire alarm conduits & accesseries,MIR-M-009(Rev-01),Fire alarm works,11-02-2025,16-03-2025,"Engr. Inam Khan
 (M/s Almajal)"
10,Fire alarm cables,MIR-M-010(Rev-01),Fire alarm works,11-02-2025,16-03-2025,"Engr. Inam Khan
 (M/s Almajal)"
11,Metal boxes & junction boxes,MIR-M-011(Rev-01),Fire alarm works,11-02-2025,15-03-2025,"Engr. Inam Khan
 (M/s Almajal)"
12,"Control Room Ducting, Control Building",MIR-M-012,HVAC Works,3-Feb-25,5-Feb-25,"Engr. Faisal Fareed
 (M/s MSCL)"
13,"Round Ducting, Control Building",MIR-M-013,HVAC Works,11-Feb-25,16-Mar-25,"Engr. Faisal Fareed
 (M/s MSCL)"
14,Motorized Smoke Fire Damper,MIR-M-014,HVAC Works,9-Mar-25,11-Mar-25,"Engr. Faisal Fareed
 (M/s MSCL)"
