Area/Building,Location (Room/Level),Mechanical Activity (System),Original Duration (Days),Current Progress %,Key Predecessor Activity,Predecessor Finish Date,Calculated Mech. Start Date,Calculated Mech. Finish Date,Remarks / Justification
PE-263 380 KV GIS Building,Ground Floor,Firefighting,15,60%,GIS Hall cable Trays,2025-06-08,2025-06-09,2025-06-24,on going 4th system LCC FM-200 piping network
PE-263 380 KV GIS Building,Ground floor,Fire Alarm ( conduiting+cabling ),15,85%,GIS Hall cable Trays,2025-06-08,2025-06-09,2025-06-17,on going. conduit for ceiling devices almost completed.
PE-263 Control Building,Ground Floor,Security System ( RGS Conduit Installation ),,98%,,,2025-07-13,2025-08-13,"Ongoing. After completion, cable pulling activities will be started "
PE-263 Control Building,Ground Floor,Security System ( Cable pulling ),,98%,Security System ( RGS Conduit Installation ),2025-08-13,2025-08-14,2025-08-24,Materials are available 
PE-263 Control Building,Ground Floor,Security System ( Camera Installation),,0 %,,,,,Materials are available 
PE-263 Control Building,Ground Floor,Security System ( Card Readers installation),,22%,,,,,Waterproof boxes installed- Materials are not available
PE-263 Control Building,Ground Floor,Security System ( Access Control Instsllstion),,0 %,,,,,Materials are not available
PE-263 Control Building,Ground Floor,Security System ( Emergency Break Glass),,22%,,,,,Waterproof boxes installed- Materials are available 
PE-263 Control Building,Ground Floor,Security System ( Doors megnatic locks),,22%,,,,,Waterproof boxes installed- Materials are available 
PE-263 Control Building,Ground Floor,Security System ( Exit Push Buttons),,22%,,,,,Waterproof boxes installed- Materials are available 
PE-263 Control Building,Ground Floor,Security System ( Switch installation),,0 %,,,,,Materials are available 
PE-263 Control Building,Ground Floor,Security System ( Switches installation),,0 %,,,,,Materials are available 
PE-263 Control Building,Ground Floor,Security System ( Intercom & IP telephone),,0 %,,,,,Materials are available 
PE-263 110 kV GIS Building,Ground Floor,Security System ( RGS Conduit Installation ),,100%,,,,,
PE-263 110 kV GIS Building,Basement Floor,Security System ( RGS Conduit Installation ),,0 %,,,,,
PE-263 110 kV GIS Building,Ground Floor,Security System ( Cable pulling ),,80 %,,,,,
PE-263 110 kV GIS Building,Basement,Security System ( Cable pulling ),,,,,,,
PE-263 110 kV GIS Building,"Ground Floor, Basement",Security System ( Camera Installation),,,,,,,
PE-263 110 kV GIS Building,"Ground Floor, Basement",Security System ( Card Readers installation),,22%,,,,,Waterproof boxes installed- Materials are available 
PE-263 110 kV GIS Building,Ground Floor,Security System ( Access Control Instsllstion),,,,,,,
PE-263 110 kV GIS Building,"Ground Floor, Basement",Security System ( Emergency Break Glass),,22%,,,,,Waterproof boxes installed- Materials are available 
