Risk ID,Risk Description,System Focus,Likely Causes,Potential Impact / Consequence,Likelihood,Severity / Impact Level,Risk Level / Score,Risk Category,Mitigation Strategies / Actions,Action Owner,Due Date,Status,Residual Risk Level,Last Updated,Source URL,Detection Date
MR-001,Overheating of Control Room,HVAC,HVAC failure in extreme ambient heat; filter clogging by dust,Protective relays/equipment malfunction; potential fire in electronics; downtime,Medium,High,Medium-High,Operational,Install redundant A/C units (N+1); high-capacity filters and regular cleaning schedule; temperature alarms integrated into SCADA for early warning.,Eng. Khaled Sabae,,Open,Low,2025-05-08,,
MR-002,Fire Pump Fails on Demand,Fire Protection,Equipment malfunction; fuel contamination; controller power loss,Uncontrolled fire spread causing major damage to transformers/buildings.,Low,Critical,High,Safety,Procure UL/SASO-approved pumps & controllers; perform monthly/annual tests; provide backup pump/bypass; ensure dual power feeds.,Eng. Khaled Sabae,,Open,Medium,2025-05-08,,
MR-003,Hydrogen Gas Buildup in Battery Room,Ventilation,Ventilation fan failure; battery overcharging; improper room design,Hydrogen concentration >4% leading to an explosion.,Low,Critical,High,Safety,Design ventilation per worst-case (5-6 ACH); install H2 detectors interlocked to alarm & exhaust fan; use low-emission batteries/recombiners; enforce charging procedures.,Eng. Khaled Sabae,,In Progress,Low,2025-05-08,,
MR-004,Water Leak in GIS Building,Plumbing,Plumbing line failure or roof drainage issue during heavy rain,Water ingress into GIS equipment causing flashover or corrosion; outage.,Low,High,Medium,Technical,Avoid routing water lines above critical gear; use double-contained pipes/drip trays; leak detection sensors; periodic pressure testing.,Eng. Khaled Sabae,,Open,Low,2025-05-08,,
MR-005,Unauthorized Entry or Sabotage,Security System,Failure of CCTV/access control; guard lapses; fence breach,Theft/vandalism or deliberate damage leading to equipment failure or safety incident.,Low,High,Medium,Security,"Install redundant surveillance/alarms (motion, fence); 24/7 guards & patrols; background checks on personnel.",Security Dept.,,Ongoing,Low,2025-05-08,,
MR-006,Diesel Fuel Spill (Generator / Fire System),Fire Protection,Tanks overfill or rupture; fuel line leak during generator test,Fire hazard; environmental contamination; potential ignition near critical equipment.,Low,High,Medium-High,Safety/Enviro.,Include fuel handling in HAZOP; provide bund walls/drip trays; hydrocarbon detectors; strict refueling procedures; emergency spill kits; ensure fire sprinklers/foam cover fuel storage.,Eng. Khaled Sabae,,Open,Low,2025-05-08,,
MR-007,Blast/Explosion at Adjacent Facility,External,Nearby industrial accident causing shockwave,Structural damage to BSP buildings; secondary fires or injuries.,Very Low,Critical,Low,External/Safety,Coordinate with Civil Defense; design critical buildings with blast resistance if credible; emergency response plan includes external explosion scenario.,Project Mgmt.,,Monitored,Low,2025-05-08,,
MR-008,Daily sandstorms affecting outdoor lifting and external works.,Operational,Frequent sandstorms in the region.,"Delays in external works, potential damage to equipment, safety hazards for personnel.",High,Medium,High,Environmental,"Implement a weather monitoring system, schedule outdoor work around sandstorm forecasts, provide appropriate PPE and safety training.",AI Generated (Review),,Needs Review,High,2025-05-08,,
MR-009,HVAC water leakage in the electrical room,HVAC,Faulty HVAC pipes or connections; Improper installation of HVAC system; Corrosion of pipes; Lack of regular maintenance,Damage to electrical equipment due to water ingress; Electrical shock hazard; Short circuit or fire; System downtime; Repair and replacement costs,Medium,High,High,Safety,Regular inspection and maintenance of HVAC system; Implement robust leak detection and alarm system,Eng. Khaled Sabae,2025-05-20,Open,High,2025-05-08,,
MR-010,Rain during outdoor work,Schedule,Unpredictable weather conditions in Saudi Arabia,"Delays in construction activities, potential damage to materials, increased costs due to rework or downtime.",Medium,Medium,Medium,Environmental,Implement a weather monitoring system and contingency plans for inclement weather; utilize covered work areas or temporary shelters when feasible.,Eng. Khaled Sabae,2025-05-29,Open,Medium,2025-05-08,,
